tulip_flower.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 2762) (8611161444).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_2762)_(8611161444).jpg
tulip_flower_2.webp | Public domain | wikimedia | Edwards's botanical register (Plate 1419) (7794905026).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_1419)_(7794905026).jpg
tulip_flower_3.webp | Public domain | wikimedia | Edwards's botanical register (Plate 66) (7949499512).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_66)_(7949499512).jpg
tulip_flower_4.webp | Public domain | wikimedia | Illustration of Tulipa gesneriana.jpg | https://commons.wikimedia.org/wiki/File:Illustration_of_Tulipa_gesneriana.jpg
sunflower_plant.webp | Public domain | wikimedia | Helianthus atrorubens.jpg | https://commons.wikimedia.org/wiki/File:Helianthus_atrorubens.jpg
sunflower_plant_2.webp | Public domain | wikimedia | Helianthus decapetalus.jpg | https://commons.wikimedia.org/wiki/File:Helianthus_decapetalus.jpg
morning_glory.webp | Public domain | wikimedia | Curtis's Botanical Magazine, Plate 4305 (Volume 73, 1847).png | https://commons.wikimedia.org/wiki/File:Curtis%27s_Botanical_Magazine,_Plate_4305_(Volume_73,_1847).png
snowdrop.webp | Public domain | wikimedia | Galanthus elwesii flower cross section.jpg | https://commons.wikimedia.org/wiki/File:Galanthus_elwesii_flower_cross_section.jpg
snowdrop_2.webp | Public domain | wikimedia | Galanthus nivalis flower cross section.jpg | https://commons.wikimedia.org/wiki/File:Galanthus_nivalis_flower_cross_section.jpg
violet.webp | Public domain | wikimedia | The Botanical Magazine, Plate 89 (Volume 3, 1790).png | https://commons.wikimedia.org/wiki/File:The_Botanical_Magazine,_Plate_89_(Volume_3,_1790).png
violet_2.webp | Public domain | wikimedia | The Botanical register (Plate 54) BHL8435.jpg | https://commons.wikimedia.org/wiki/File:The_Botanical_register_(Plate_54)_BHL8435.jpg
butterfly.webp | Public domain | wikimedia | Illustrations of new species of exotic butterflies Papilio III.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_new_species_of_exotic_butterflies_Papilio_III.jpg
butterfly_2.webp | Public domain | wikimedia | Illustrations of new species of exotic butterflies Papilio IV.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_new_species_of_exotic_butterflies_Papilio_IV.jpg
butterfly_3.webp | Public domain | wikimedia | Illustrations of new species of exotic butterflies Papilio IX.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_new_species_of_exotic_butterflies_Papilio_IX.jpg
butterfly_4.webp | Public domain | wikimedia | Illustrations of new species of exotic butterflies Papilio V.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_new_species_of_exotic_butterflies_Papilio_V.jpg
butterfly_5.webp | Public domain | wikimedia | Illustrations of new species of exotic butterflies Papilio VI.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_new_species_of_exotic_butterflies_Papilio_VI.jpg
butterfly_6.webp | Public domain | wikimedia | The butterfly book; a popular guide to a knowledge of the butterflies of North America (1898) (20485230016).jpg | https://commons.wikimedia.org/wiki/File:The_butterfly_book;_a_popular_guide_to_a_knowledge_of_the_butterflies_of_North_America_(1898)_(20485230016).jpg
butterfly_7.webp | Public domain | wikimedia | The butterfly book BHL21685853.jpg | https://commons.wikimedia.org/wiki/File:The_butterfly_book_BHL21685853.jpg
mineral.webp | CC0 | wikimedia | Calcite crystal (GeoDIL number - 698).jpg | https://commons.wikimedia.org/wiki/File:Calcite_crystal_(GeoDIL_number_-_698).jpg
mineral_2.webp | CC0 | wikimedia | Calcite crystals (GeoDIL number - 665).jpg | https://commons.wikimedia.org/wiki/File:Calcite_crystals_(GeoDIL_number_-_665).jpg
