
# --- added by sourcing run 2026-07-20 ---
mallet.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358489/free-illustration-image-antique-art-artwork
watering_can_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:British_fresh_water_fishes_(Page_ii)_(8552032080).jpg
spirit_level.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6501380/image-vintage-public-domain-illustrations
caliper.webp | CC0 1.0 | Openverse/thingiverse | https://www.thingiverse.com/thing:1166700
dividers.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6258123/image-vintage-public-domain-art
anvil.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6715127/vector-vintage-public-domain-person
anvil_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6713911/png-sticker-vintage
pickaxe.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6820783/png-sticker-vintage
pickaxe_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6819593/vector-vintage-public-domain-black
shears.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6820630/png-sticker-vintage
shears_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6819691/vector-vintage-public-domain-black
wooden_mallet.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:PSM_V09_D034_Carpenter_wooden_mallet.jpg
brace_and_bit.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/9638462/brace-and-bit
brace_and_bit_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3367885/free-illustration-image-antique-art-artwork
cultivator.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Catalogue_of_seeds,_agricultural_and_horticultural_supplies_and_guide_for_the_garden,_field_and_farm_(1893)_(14755850896).jpg
cultivator_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Choice_Iowa_seeds_-_second_edition_of_the_27th_annual_catalogue_and_garden_guide_(1897)_(19926492484).jpg
machinist_tool.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Bement_and_Dougherty,_Industrial_Works,_Machinists'_Tools_(8706012304).jpg
marking_gauge.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Appendix_to_the_Journals_of_the_Senate_and_Assembly_of_the_session_of_the_Legislature_of_the_State_of_California_(1917)_(14597571739).jpg
marking_gauge_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Building_and_repairing_railways_-_Forming_one_of_the_series_of_the_volumes_comprised_in_the_Revised_and_enlarged_edition_of_The_science_of_railways,_(1906)_(14574707158).jpg

# --- added by tools sourcing run 2026-07-20 ---
adze.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Adze_•_p784_•_Scammell's_Cyclopedia_of_Valuable_Receipts_(1897).tif
